mot-clé_(mc),url,trafic,position,volumeh,volume_ads,allintitle,cpc,comp.,kgr,kvi,maj_serp,si_informational,si_navigational,si_transactional,si_commercial,si_local,si_brand,sugg._ortho.,sugg._ortho._avec_redir.
"industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","296","9","16100","40500","3870","0.59","0.01","0.2404","26","2026-07-28","true","false","false","false","false","false","",""
"l'industrie recrute","https://www.aveclindustrie.fr/actualites/lindustrie-recrute-fr/","175","5","4500","5400","2330","0.21","0.07","0.5178","15","2026-07-09","true","true","false","false","false","true","",""
"secteurs industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","172","1","880","880","3580","","","4.0682","23","2026-06-28","true","false","false","false","false","false","",""
"secteur industriel","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","91","2","880","880","14400","3","0.05","16.3636","23","2026-06-29","true","false","false","false","false","false","",""
"industriel","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","78","5","2000","3600","2360000","1.83","0.01","1180","23","2026-07-06","true","false","false","false","false","false","",""
"industries","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","62","2","600","9900","22500000","1.04","0","37500","7","2026-07-08","true","false","false","false","false","false","",""
"habillement","https://www.aveclindustrie.fr/branche/habillement/","56","6","1800","9900","1300000","0.87","0.02","722.2222","23","2026-07-06","true","false","false","false","false","false","",""
"casting m6","https://accueil.aveclindustrie.fr/actualites/casting-m6-fais-briller-ton-talent-dans-lindustrie/","51","5","1300","1300","2010","1.41","0.01","1.5462","1","2026-06-27","false","false","false","false","false","true","",""
"secteur industrie","https://www.aveclindustrie.fr/decouvrez-lindustrie/les-secteurs-de-lindustrie/","50","3","720","720","28300","","","39.3056","23","2026-06-17","true","false","false","false","false","false","",""
"se reconvertir","https://www.aveclindustrie.fr/changer-de-cap-se-reconvertir/","41","4","800","590","6530","2.11","0.62","8.1625","23","2026-07-08","true","false","false","false","false","false","",""
