mot-clé_(mc),url,trafic,position,volumeh,volume_ads,allintitle,cpc,comp.,kgr,kvi,maj_serp,si_informational,si_navigational,si_transactional,si_commercial,si_local,si_brand,sugg._ortho.,sugg._ortho._avec_redir.
"christian matériel","https://www.batamat.com/","76","1","390","390","","1.36","0.05","","20","OLDER_THAN_2_MONTHS","true","false","false","false","true","false","",""
"batamat","https://www.batamat.com/","34","1","170","170","","","0","","18","2026-05-31","true","false","false","false","false","false","",""
"passer le caces","https://www.batamat.com/Batamat/detail_actu/19","33","3","480","480","84","1.49","0.34","0.175","24","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"christian matériels merville","https://www.batamat.com/","28","1","140","140","","1.7","0.06","","18","2026-06-01","true","false","false","false","false","false","",""
"christian materiels merville","https://www.batamat.com/","28","1","140","140","","1.7","0.06","","21","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"comment passer le caces","https://www.batamat.com/Batamat/detail_actu/19","21","3","300","390","","1.28","0.61","","20","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location nacelle ciseaux","https://www.batamat.com/Batamat/detail_produit/61","13","8","590","590","1320","0.91","0.26","2.2373","19","2026-06-08","true","false","false","false","false","false","",""
"location plaques de roulage","https://www.batamat.com/Batamat/detail_produit/179","9","6","260","260","1","2.65","0.35","0.0038","7","2026-06-02","false","false","false","false","true","false","",""
"caces obligatoire","https://www.batamat.com/Batamat/detail_actu/19","7","8","320","320","158","0.59","0.03","0.4938","19","2026-06-09","true","false","false","false","false","false","",""
"location nacelle ciseau","https://www.batamat.com/Batamat/detail_produit/61","7","8","320","320","","2.42","0.21","","21","OLDER_THAN_2_MONTHS","","","","","","","",""
"permis kses","https://www.batamat.com/Batamat/detail_actu/19","7","5","170","170","","1.71","0.18","","19","2026-06-12","true","false","false","false","false","false","",""
"location surfaceuse beton","https://www.batamat.com/Batamat/detail_produit/196","7","9","355","390","3","0.65","0.96","0.0085","19","2026-06-14","","","","","","","",""
"batamat roubaix","https://www.batamat.com/","6","1","30","30","","","0.0039","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"attestation caces","https://www.batamat.com/Batamat/detail_actu/19","6","5","140","140","","0.36","0.02","","21","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"caces permis","https://www.batamat.com/Batamat/detail_actu/19","6","23","3273","3600","812","1.72","0.17","0.2481","39","2026-06-11","","","","","","","",""
"nacelle ciseau 6m","https://www.batamat.com/Batamat/detail_produit/61","5","6","155","140","","0.81","1","","20","OLDER_THAN_2_MONTHS","","","","","","","",""
