mot-clé_(mc),url,trafic,position,volumeh,volume_ads,allintitle,cpc,comp.,kgr,kvi,maj_serp,si_informational,si_navigational,si_transactional,si_commercial,si_local,si_brand,sugg._ortho.,sugg._ortho._avec_redir.
"industrie magazine","https://industrie-magazine.fr/","41","1","210","210","16800","","0.11","80","10","OLDER_THAN_2_MONTHS","","","","","","","",""
"prismatik","https://industrie-magazine.fr/prismatik-jouez-votre-role/","18","3","260","260","9500","","0.25","36.5385","7","OLDER_THAN_2_MONTHS","","","","","","","",""
"industrie mag","https://industrie-magazine.fr/","18","2","170","170","1930","","0.01","11.3529","10","2026-05-30","true","false","false","false","false","true","",""
"magazine industrie","https://industrie-magazine.fr/","14","1","70","70","","","0.03","","1","2026-07-25","true","false","false","false","false","true","",""
"edialux","https://industrie-magazine.fr/%F0%9F%9B%A1%EF%B8%8F-edialux-france-la-riposte-pro-contre-les-nuisibles-%F0%9F%90%9C%F0%9F%A6%9F%F0%9F%90%80/","11","15","2300","2900","7760","1.62","0.08","3.3739","29","2026-07-05","true","true","false","false","false","false","",""
"giron","https://industrie-magazine.fr/giron-100-ans-de-resistance-industrielle-dans-lunivers-discret-du-criblage/","9","24","5500","9900","517000","","0","94","31","2026-07-27","true","false","false","false","false","false","",""
"edialux france","https://industrie-magazine.fr/%F0%9F%9B%A1%EF%B8%8F-edialux-france-la-riposte-pro-contre-les-nuisibles-%F0%9F%90%9C%F0%9F%A6%9F%F0%9F%90%80/","8","7","300","320","88","","1","0.2933","19","2026-06-02","true","false","false","false","false","false","",""
"industrie","https://industrie-magazine.fr/","7","32","16100","40500","3870","0.59","0.01","0.2404","26","2026-07-28","true","false","false","false","false","false","",""
"innovations industrielles","https://industrie-magazine.fr/","7","5","170","170","","4.79","0.09","","22","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"mathelec","https://annuaire.industrie-magazine.fr/entreprise/mathelec-distribution-st-maximin","7","10","390","390","190","","","0.4872","20","2026-06-12","true","false","false","false","false","false","",""
"magazine industriel","https://industrie-magazine.fr/","6","1","30","30","","","0.5","","1","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"revues industrielles","https://industrie-magazine.fr/","6","1","30","30","","","0.5325","","4","OLDER_THAN_2_MONTHS","","","","","","","",""
"metal stores","https://annuaire.industrie-magazine.fr/entreprise/metal-stores-sarl-gleize","6","8","260","260","","5.32","0.24","","17","2026-06-11","true","false","false","false","false","false","",""
"wind tree","https://industrie-magazine.fr/wind-tree-lenergie-eolienne-au-coeur-des-villes/","6","4","110","110","","","0","","1","2026-06-05","true","false","false","false","false","false","",""
"safran aerospace","https://annuaire.industrie-magazine.fr/entreprise/safran-chateaufort","6","7","210","210","","0.24","0.01","","14","2026-06-09","true","false","false","false","true","false","",""
"icome inox","https://annuaire.industrie-magazine.fr/entreprise/icome-inox-toulon","5","7","191","210","56","","0.05","0.2932","10","2026-06-08","false","false","false","false","true","false","",""
"ouest isol gonesse","https://annuaire.industrie-magazine.fr/entreprise/ouest-isol-ventil-gonesse-gonesse","5","9","260","260","","","0.01","","36","2026-06-08","true","false","false","false","false","false","",""
"industrie mag","https://industrie-magazine.fr/category/a-la-une/","5","7","170","170","1930","","0.01","11.3529","10","2026-05-30","true","false","false","false","false","true","",""
"giron chatellerault","https://industrie-magazine.fr/giron-100-ans-de-resistance-industrielle-dans-lunivers-discret-du-criblage/","5","6","140","140","","","0","","1","2026-06-14","true","false","false","false","false","false","",""
"folie cosmetic merignac","https://annuaire.industrie-magazine.fr/entreprise/folie-cosmetic-merignac","5","10","260","260","5","0.08","0.14","0.0192","18","2026-06-09","false","false","false","false","true","false","",""
"magazine innovations","https://industrie-magazine.fr/","5","2","40","40","","1.3525","0.1196","","11","OLDER_THAN_2_MONTHS","","","","","","","",""
"termaloc colombelles","https://annuaire.industrie-magazine.fr/entreprise/termaloc-colombelles","4","9","210","210","","5.52","0.07","","4","2026-06-14","true","false","false","false","true","false","",""
"sn hydro","https://annuaire.industrie-magazine.fr/entreprise/sn-hydro-montoir-de-bretagne","4","7","140","140","","","0","","4","2026-06-09","true","false","false","false","false","false","",""
"magazine innovation","https://industrie-magazine.fr/","4","4","70","70","","2.25","0.68","","11","OLDER_THAN_2_MONTHS","","","","","","","",""
"l&smart","https://industrie-magazine.fr/lsmart-la-revolution-en-matiere-de-performance-energetique/","4","6","110","110","","","0","","11","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"firalp","https://industrie-magazine.fr/firalp-revolutionne-la-mobilite-electrique-en-france-avec-des-stations-de-recharge/","4","19","1000","1900","2810","","0","2.81","21","2026-06-27","true","false","false","false","false","false","",""
