mot-clé_(mc),url,trafic,dernière_pos.,meilleure_pos.,plus_vieille_pos.,pos._perdues_:,diff._pos.,statut,volumeh,volume_ads,cpc,comp.,prem._vue_serp,der._vue_serp,date,si_informational,si_navigational,si_transactional,si_commercial,si_local,si_brand,sugg._ortho.,sugg._ortho._avec_redir.
"remorque voiture","https://www.infoweb-manutention.fr/accessoire/les-remorques-pour-voitures-lesquelles-choisir/","75","19","19","88","","","false","23643","33100","0.49","1","2025-08-29","2026-05-31","2026-07-20","true","false","false","false","false","false","",""
"remorque à voiture","https://www.infoweb-manutention.fr/accessoire/les-remorques-pour-voitures-lesquelles-choisir/","11","20","19","86","","","false","3682","40500","0.37","1","2026-03-13","2026-06-05","2026-07-22","","","","","","","",""
"classement marques chariot elevateur","https://www.infoweb-manutention.fr/chariot-elevateur/classement-des-marques-chariot-elevateur/","9","0","0","0","0","0","true","45","50","0.71","0.17","2025-07-24","2026-01-19","2026-01-19","true","false","false","false","false","false","",""
"remorques pour voitures","https://www.infoweb-manutention.fr/accessoire/les-remorques-pour-voitures-lesquelles-choisir/","8","18","18","60","","","false","2364","33100","0.36","1","2025-08-27","2026-06-07","2026-07-18","true","false","false","false","true","false","",""
"remorques voiture","https://www.infoweb-manutention.fr/accessoire/les-remorques-pour-voitures-lesquelles-choisir/","8","18","18","66","","","false","2364","33100","0.36","1","2026-03-13","2026-06-07","2026-07-20","true","false","false","false","false","false","",""
"caces 1","https://www.infoweb-manutention.fr/chariot-elevateur/cest-quoi-le-caces-1/","8","28","28","60","","","false","6200","12100","2.67","0.12","2025-08-28","2026-04-07","2026-07-09","true","false","false","false","false","false","",""
"remorque pour voiture","https://www.infoweb-manutention.fr/accessoire/les-remorques-pour-voitures-lesquelles-choisir/","7","20","20","60","","","false","2364","33100","0.36","1","2025-08-27","2026-06-02","2026-07-21","true","false","false","false","true","false","",""
"un fenwick","https://www.infoweb-manutention.fr/gerbeur/le-gerbeur-fenwick-tout-savoir-sur-cet-appareil/","4","10","10","21","0","+11","true","260","260","0.93","0.56","2025-07-25","2026-06-06","2026-06-06","true","false","false","false","false","false","",""
"caces fenwick","https://www.infoweb-manutention.fr/gerbeur/le-gerbeur-fenwick-tout-savoir-sur-cet-appareil/","4","14","14","33","","","false","720","720","0.93","0.1","2025-07-25","2026-03-10","2026-06-19","","","","","","","",""
"parkside outillage","https://www.infoweb-manutention.fr/outillage/parksidelidl-bricolage/","3","30","30","42","","","false","2900","2900","0.23","1","2026-02-12","2026-02-13","2026-07-05","true","false","false","false","false","false","",""
