sous-domaine,url,top_3_mcs,trafic,mcs,positionnés,perdus,total_top_3,total_top_10,total_top_50,prem._vue_serp,der._vue_serp
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/accessoire/les-remorques-pour-voitures-lesquelles-choisir/","","110","9","3","6","0","0","6","2025-08-26","2026-06-07"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/project/fenwick/","","30","16","0","16","0","0","8","2025-07-07","2025-08-14"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/outillage/parksidelidl-bricolage/","","30","59","3","56","0","0","35","2025-07-03","2026-03-06"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/entreprise/le-classement-marques-chariot-elevateur-avis-et-comparatifs/","","22","78","15","63","7","19","35","2025-07-02","2026-05-18"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/chariot-elevateur/classement-des-marques-chariot-elevateur/","","21","33","13","20","5","9","23","2025-07-02","2026-05-31"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/gerbeur/le-gerbeur-fenwick-tout-savoir-sur-cet-appareil/","","20","41","16","25","0","2","25","2025-07-01","2026-06-06"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/chariotelevateur-heli/","","15","36","6","30","0","0","12","2025-07-03","2026-02-24"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/manutention/chariot-elevateur-manuel/","","14","30","13","17","0","4","19","2025-07-02","2026-04-28"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/chariot-elevateur/fenwick-chariot-elevateur-prix-ce-quil-faut-savoir","","12","35","0","35","0","0","22","2025-07-02","2025-11-14"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/chariot-elevateur/norme-passage-chariot-elevateur-tout-savoir/","","10","39","9","30","1","4","25","2025-07-01","2026-05-29"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/chariot-elevateur/cest-quoi-le-caces-1/","","8","1","0","1","0","0","1","2025-08-28","2026-04-07"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/chariot-elevateur/choix-de-lhuile-hydraulique-pour-chariot-elevateur","","6","8","1","7","2","2","5","2025-07-02","2025-10-25"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/treuil-manuel-3-2-t-treuil-de-main-corde-20-m/","","3","6","1","5","0","1","4","2025-07-07","2026-04-12"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/chariot-porte-palan/","","3","9","6","3","0","0","8","2025-07-25","2026-06-08"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/table-elevatrice/itm-logistique-alimentaire-international/","","3","17","7","10","0","0","11","2025-07-03","2026-04-22"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/levage/levage-ponts-roulants-potences/","","3","24","1","23","0","0","12","2025-07-01","2026-03-16"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/rayonnage/roll-picking-preparation-facilitee/","","2","9","1","8","0","3","8","2025-08-16","2026-06-16"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/manutention/chariot-diable/","","2","43","15","28","0","0","22","2025-07-05","2026-03-17"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/chariot-elevateur/fenwick-chariot-elevateur-prix-ce-quil-faut-savoir/","","2","18","4","14","0","0","8","2025-11-29","2026-04-19"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/chariot-elevateur/tout-savoir-sur-lassurance-des-chariots-elevateurs/","","2","13","0","13","0","3","7","2025-07-02","2026-05-17"
