url,top_3_mcs,trafic,mcs,total_top_3,total_top_10,total_top_50,der._vue_serp
"https://www.infoweb-manutention.fr/gerbeur/le-gerbeur-fenwick-tout-savoir-sur-cet-appareil/","un fenwick,fenwick gerbeur,gerbeurs fenwick","10","16","0","2","10","2026-06-06"
"https://www.infoweb-manutention.fr/chariot-elevateur/norme-passage-chariot-elevateur-tout-savoir/","norme passage chariot élévateur,hauteur des fourches chariot élévateur en circulation,largeur allée de circulation chariot élévateur","2","9","1","1","5","2026-05-29"
"https://www.infoweb-manutention.fr/chariot-elevateur/fenwick-chariot-elevateur-prix-ce-quil-faut-savoir/","chariot elevateur fenwick,chariot élévateur fenwick prix,chariot elevateur fenwick electrique","1","4","0","0","2","2026-04-19"
"https://www.infoweb-manutention.fr/entreprise/le-classement-marques-chariot-elevateur-avis-et-comparatifs/","marque chariot élévateur,classement marques chariot elevateur,classement marques chariot élévateur","1","15","0","0","9","2026-05-18"
"https://www.infoweb-manutention.fr/produit/chariot-elevateur-a-gaz-2t/","chariot elevateur au gaz","1","1","0","0","1","2026-05-16"
"https://www.infoweb-manutention.fr/manutention/chariot-elevateur-manuel/","chariot elevateur manuel,chariot elevateur manuelle,elevateur manuel","1","13","0","0","5","2026-04-28"
"https://www.infoweb-manutention.fr/categorie/chariot-elevateur-gaz/","chariot gaz,chariot à gaz,chariot elevateur au gaz","1","5","0","0","2","2026-06-02"
"https://www.infoweb-manutention.fr/entreprise/itm-logistique-alimentaire-international/","itm logistique","1","1","0","0","1","2026-05-16"
"https://www.infoweb-manutention.fr/fabricants-chariots-elevateurs/","marque chariot élévateur,marque chariot elevateur,marque de chariot élévateur","1","10","0","0","4","2026-05-18"
"https://www.infoweb-manutention.fr/chariotelevateur-heli/","chariot elevateur heli,forum chariot elevateur,forum chariot élévateur","1","6","0","0","5","2026-01-24"
"https://www.infoweb-manutention.fr/chariot-elevateur/choix-de-lhuile-hydraulique-pour-chariot-elevateur/","huile hydraulique chariot elevateur,quelle huile hydraulique pour chariot élévateur,huile hydraulique pour transpalette","1","4","0","0","4","2025-12-26"
"https://www.infoweb-manutention.fr/chariot-elevateur/classement-des-marques-chariot-elevateur/","marque de chariot elevateur,marque chariot elevateur,leader mondial chariot élévateur","1","13","3","3","10","2026-05-31"
"https://www.infoweb-manutention.fr/manutention/chariots-manuels-diables/les-diables-pour-votre-entrepot/","diable entrepot du bricolage,comment choisir un diable,diable elevateur pas cher","1","5","0","0","3","2026-05-09"
"https://www.infoweb-manutention.fr/manutention/chariot-diable/","castorama diable 3 en 1,achat diable castorama,castorama diable 3 roues","1","15","0","0","8","2026-01-20"
"https://www.infoweb-manutention.fr/table-elevatrice/itm-logistique-alimentaire-international/","itm logistique international,logistique internationale alimentaire,itm international","1","7","0","0","3","2026-02-28"
"https://www.infoweb-manutention.fr/caces-chariot-elevateur-guide-complet/","documents obligatoires chariot elevateur,documents obligatoires chariot élévateur,qu est ce que le caces 3","1","5","0","0","2","2026-01-28"
"https://www.infoweb-manutention.fr/","infoweb","1","1","0","0","1","2026-05-05"
"https://www.infoweb-manutention.fr/transpalette/5-meilleures-marques-de-transpalettes-comparatif-detaille/","marque de transpalette,clark transpalette,transpalette meilleur prix","1","4","0","0","1","2026-02-17"
"https://www.infoweb-manutention.fr/accessoire/les-remorques-pour-voitures-lesquelles-choisir/","type de remorque voiture,comparatif remorque voiture,la meilleure marque de remorque voiture","1","3","0","0","1","2026-05-18"
"https://www.infoweb-manutention.fr/chariot-elevateur/quel-prix-pour-un-prix-chariot-elevateur-neuf-noatre-avis/","prix chariot élévateur neuf,prix d'un chariot élévateur neuf,chariot élévateur prix neuf","1","6","0","0","4","2026-04-29"
"https://www.infoweb-manutention.fr/chariot-porte-palan/","porte palan,chariot porte palan,chariot porte-palan","1","6","0","0","1","2026-06-08"
"https://www.infoweb-manutention.fr/outillage/parksidelidl-bricolage/","lidl outils parkside,site parkside,outillage liddle","1","7","0","0","1","2026-02-25"
"https://www.infoweb-manutention.fr/pont-roulant/guide-sur-la-securite-des-ponts-roulants/","examen d'adéquation pont roulant,maintenance pont roulant pdf,réglementation pont élévateur","1","3","0","0","1","2026-03-20"
"https://www.infoweb-manutention.fr/manutention/chariot-elevateur/","location chariot elevateur loxam,location table élévatrice kiloutou,chariot elevateur electrique neuf","1","10","0","0","3","2026-01-25"
"https://www.infoweb-manutention.fr/table-elevatrice/levage-ponts-roulants-potences/pont-roulant-a-commande-manuelle/","pont roulant manuel,chariot pont roulant,achat pont roulant","1","3","0","0","2","2025-12-23"
"https://www.infoweb-manutention.fr/produit/treuil-a-cable-electrique-150kg-300kg-telecommande-sans-fill/","treuil électrique télécommande sans fil,palan électrique 150 kg,palan électrique télécommande sans fil","1","4","0","0","2","2025-12-25"
"https://www.infoweb-manutention.fr/produit/treuil-electrique-palan-220-v-avec-un-cable-de-15-m","treuil de halage electrique 220v","1","1","0","0","1","2025-12-22"
"https://www.infoweb-manutention.fr/produit/treuil-manuel-3-2-t-treuil-de-main-corde-20-m/","treuil a corde manuel","1","1","0","0","1","2025-11-07"
"https://www.infoweb-manutention.fr/chariot-elevateur/choix-de-lhuile-hydraulique-pour-chariot-elevateur","huile hydraulique pont elevateur","1","1","0","0","1","2025-10-25"
"https://www.infoweb-manutention.fr/chariot-elevateur/est-il-obligatoire-davoir-un-caces/","caces obligation,caces obligatoire ou pas,conduire sans caces","1","3","0","0","0","2026-05-11"
"https://www.infoweb-manutention.fr/stockage/roll-conteneur/","roll conteneur pas cher,chariot grillagé manutan,rolls de transport","1","6","0","0","2","2026-02-23"
"https://www.infoweb-manutention.fr/categorie/aimant-de-levage/","aimant de levage,aimant de levage manuel,prix equipement de levage magnétique","1","4","0","0","0","2026-05-15"
"https://www.infoweb-manutention.fr/pont-roulant/les-avantages-des-ponts-roulants-pour-un-levage-securise/","pont de manutention,chariot pont roulant","1","2","0","0","1","2025-12-19"
"https://www.infoweb-manutention.fr/chariot-elevateur/caces-chariot-elevateur-que-dois-je-savoir/","caces r389 3,chariot élévateur catégorie 7,caces 3 r389","1","6","0","0","1","2026-01-24"
"https://www.infoweb-manutention.fr/levage-nacelles-tables-elevatrices/levage/elevateur-monte-charge/","élévateur mécanique de charge,monte charge élévateur,monte charge elevateur","1","4","0","0","1","2026-01-05"
"https://www.infoweb-manutention.fr/table-elevatrice/pont-roulant-a-commande-electrique-la-solution-efficace-et-precise-pour-les-operations-de-levage-regulieres/","pont roulant pas cher,pont gerbeur,pont a treuil pas cher","1","3","0","0","1","2026-01-02"
"https://www.infoweb-manutention.fr/btp/le-prix-de-la-renovation-de-locaux-et-entrepots-industriels/","bâtiment industriel prix m2","1","1","0","0","0","2026-01-19"
"https://www.infoweb-manutention.fr/treuil-palonnier/palan-a-chaine-guide-conseils-dachat/","manutention palan","1","1","0","0","0","2026-01-10"
"https://www.infoweb-manutention.fr/produit/levage-magnetique-aimants-de-levage-100-kg/","aimant 100 kg,aimant de levage 100 kg","1","2","0","0","0","2026-02-05"
"https://www.infoweb-manutention.fr/produit/treuil-a-cable-electrique-400-800-kg-palan-electrique/","treuil palan electrique,palan treuil electrique,palan electrique 400 kg","1","6","0","0","0","2026-01-28"
"https://www.infoweb-manutention.fr/chariot-elevateur/guide-complet-un-chariot-elevateur-diesel/","chariot élévateur gaz ou diesel,comment choisir son chariot elevateur","1","2","0","0","1","2026-01-24"
"https://www.infoweb-manutention.fr/acheter-ou-louer-une-nacelle-elevatrice/","cout location nacelle,location nacelle strasbourg prix,potencette","1","3","0","0","0","2026-03-19"
"https://www.infoweb-manutention.fr/chariot-elevateur/caisse-de-levage-chariot-fenwick-chariot-nissan-heister/","jalet manutention,chariot élévateur teu,potencette","1","3","0","0","0","2026-01-28"
"https://www.infoweb-manutention.fr/nacelles-elevatrices/","différents types de nacelles,type de nacelle elevatrice,prix d une nacelle élévatrice neuve","1","4","0","0","0","2026-01-02"
"https://www.infoweb-manutention.fr/produit/levage-magnetique-grue-600-kg/","aimant 600 kg","1","1","0","0","0","2026-02-05"
"https://www.infoweb-manutention.fr/produit/levage-magnetique-300-kg/","aimant de levage 300 kg","1","1","0","0","0","2026-01-25"
"https://www.infoweb-manutention.fr/produit/chariot-elevateur-a-gaz-7t","chariot elevateur 7t,chariot elevateur 7 tonnes","1","2","0","0","1","2025-12-21"
"https://www.infoweb-manutention.fr/produit/treuil-palan-electrique-treuil100-200kg","palan electrique 100 kg,aimant 200kg,palan 200 kg","1","7","0","0","0","2026-02-05"
"https://www.infoweb-manutention.fr/produit/aimant-de-levage-magnetique-1000-kg/","aimant de levage 1000 kg,aimant de levage fonctionnement,equipement de levage magnétique","1","3","0","0","0","2026-01-25"
"https://www.infoweb-manutention.fr/categorie/chariot-elevateur-electrique/","prix chariot elevateur electrique,chariot de transport electrique,chariot de transport électrique","1","9","0","0","1","2026-02-11"
"https://www.infoweb-manutention.fr/manutention/transpalettes/","gerbeur transpalette électrique,transpalette élévateur manuel,tire palette elevateur","1","4","0","0","0","2026-01-24"
"https://www.infoweb-manutention.fr/produit/palan-a-chaine-3-tonnes/","palan a chaine 3 tonnes","1","1","0","0","0","2025-12-23"
"https://www.infoweb-manutention.fr/produit/aimant-de-levage-magnetique-400kg/","aimant 400kg","1","1","0","0","0","2026-02-05"
"https://www.infoweb-manutention.fr/produit/1t-chariot-a-engrenage-avec-chaine-factories-curve-geared-trolley/","porter des charges lourdes avec des sangles","1","1","0","0","0","2025-06-02"
"https://www.infoweb-manutention.fr/accessoire/crics/crics-et-chariots-elevateurs/","cric captur,crics et chariots élévateurs","1","2","0","0","1","2026-01-16"
"https://www.infoweb-manutention.fr/produit/chariot-elevateur-a-gaz-5t/","chariot elevateur 5 tonnes","1","1","0","0","0","2026-01-19"
"https://www.infoweb-manutention.fr/chariot-elevateur/comment-descendre-dun-chariot-elevateur/","comment descendre une nacelle manuellement,consigne de securite pour chariot elevateur,montée descente chariot élévateur","1","3","1","1","1","2025-12-24"
